Elememts Number:  1516	     8
 1431:	    0	    8
 1432:	    1	    8
 1434:	    1	    8
 1435:	    0	    8
 1436:	    2	    8
 1438:	    2	    8
 1439:	    0	    8
 1440:	    1	    8
 1442:	    1	    8
 1443:	    0	    8
 1444:	    2	    8
 1446:	    2	    8
 1447:	    0	    8
 1448:	    1	    8
 1450:	    1	    8
 1451:	    0	    8
 1452:	    2	    8
 1454:	    2	    8
 1455:	    0	    8
 1456:	    1	    8
 1458:	    1	    8
 1459:	    0	    8
 1460:	    2	    8
 1462:	    2	    8
 1463:	    0	    8
 1464:	    1	    8
 1466:	    1	    8
 1467:	    0	    8
 1468:	    2	    8
 1470:	    2	    8
 1471:	    0	    8
 1472:	    1	    8
 1474:	    1	    8
 1475:	    0	    8
 1476:	    2	    8
 1478:	    2	    8
 1479:	    0	    8
 1480:	    1	    8
 1482:	    1	    8
 1483:	    0	    8
 1484:	    2	    8
 1486:	    2	    8
 1487:	    0	    8
 1488:	    1	    8
 1490:	    1	    8
 1491:	    0	    8
 1492:	    2	    8
 1494:	    2	    7
 1495:	    2	    7
 1496:	    2	    7
 1498:	    0	    8
 1499:	    2	    8
 1500:	    0	    8
 1502:	    2	    7
 1503:	    2	    7
 1504:	    2	    7
 1506:	    1	    7
 1507:	    1	    7
 1508:	    1	    7
 1510:	    0	    8
 1511:	    2	    8
 1512:	    0	    8
 1514:	    0	    8
 1515:	    2	    8
 1516:	    0	    8
 1518:	    2	    7
 1519:	    2	    7
 1520:	    2	    7
 1522:	    1	    7
 1523:	    1	    7
 1524:	    1	    7
 1526:	    0	    8
 1527:	    2	    8
 1528:	    0	    8
 1530:	    0	    8
 1531:	    2	    8
 1532:	    0	    8
 1534:	    2	    7
 1535:	    2	    7
 1536:	    2	    7
 1538:	    1	    7
 1539:	    1	    7
 1540:	    1	    7
 1542:	    0	    8
 1543:	    2	    8
 1544:	    0	    8
 1546:	    0	    8
 1547:	    2	    8
 1548:	    0	    8
 1550:	    2	    7
 1551:	    2	    7
 1552:	    2	    7
 1554:	    1	    7
 1555:	    1	    7
 1556:	    1	    7
 1558:	    0	    8
 1559:	    2	    8
 1560:	    0	    8
 1562:	    0	    8
 1563:	    2	    8
 1564:	    0	    8
 1566:	    2	    7
 1567:	    2	    7
 1568:	    2	    7
 1570:	    1	    7
 1571:	    1	    7
 1572:	    1	    7
 1574:	    0	    8
 1575:	    2	    8
 1576:	    0	    8
 1578:	    0	    8
 1579:	    2	    8
 1580:	    0	    8
 1582:	    2	    7
 1583:	    2	    7
 1584:	    2	    7
 1586:	    1	    7
 1587:	    1	    7
 1588:	    1	    7
 1590:	    0	    8
 1591:	    2	    8
 1592:	    0	    8
 1594:	    0	    8
 1595:	    2	    8
 1596:	    0	    8
 1598:	    2	    7
 1599:	    2	    7
 1600:	    2	    7
 1602:	    1	    7
 1603:	    1	    7
 1604:	    1	    7
 1606:	    0	    8
 1607:	    2	    8
 1608:	    0	    8
 1610:	    0	    8
 1611:	    2	    8
 1612:	    0	    8
 1614:	    2	    7
 1615:	    2	    7
 1616:	    2	    7
 1618:	    1	    7
 1619:	    1	    7
 1620:	    1	    7
 1622:	    0	    8
 1623:	    2	    8
 1624:	    0	    8
 1626:	    0	    8
 1627:	    2	    8
 1628:	    0	    8
 1630:	    2	    7
 1631:	    2	    7
 1632:	    2	    7
 1634:	    1	    7
 1635:	    1	    7
 1636:	    1	    7
 1638:	    0	    8
 1639:	    2	    8
 1640:	    0	    8
 1642:	    0	    8
 1643:	    2	    8
 1644:	    0	    8
 1646:	    2	    7
 1647:	    2	    7
 1648:	    2	    7
 1650:	    1	    7
 1651:	    1	    7
 1652:	    1	    7
 1654:	    0	    8
 1655:	    2	    8
 1656:	    0	    8
 1658:	    0	    8
 1659:	    2	    8
 1660:	    0	    8
 1662:	    2	    7
 1663:	    2	    7
 1664:	    2	    7
 1666:	    1	    7
 1667:	    1	    7
 1668:	    1	    7
 1670:	    0	    8
 1671:	    2	    8
 1672:	    0	    8
 1674:	    0	    8
 1675:	    2	    8
 1676:	    0	    8
 1678:	    2	    7
